"temp.a" "temp.b" "temp.c"
"SPAC13G7.05" 0.0275744910011960 NA 0.00948649085698201
"SPAC13G7.06" NA NA 0.0244211602652518
"SPAC13G7.07" 0.0492850239157479 NA 0.0169308177272245
"SPAC13G7.08C" 0.000473288803495314 NA 0.00693585448412217
"SPAC13G7.09C" 0.520867757095816 0.220175834620492 NA
"SPAC13G7.10" NA NA 0.00146598077273266
"SPAC13G7.11" 0.0384831099453492 NA NA
"SPAC13G7.12C" 0.901554309996108 NA 1.44885709341816e-09
"SPAC140.01" 0.0097213812042506 1.25381991954463e-05 0.000322276033622883
"SPAC140.02" 0.207442695108863 NA 0.000334785161196169
"SPAC140.03" 0.0728016931732413 0.00091413548231057 0.000143203656736144
"SPAC140.04" 0.988232730210728 NA 0.119487319739116
"SPAC140.05" NA NA 3.46666514708075e-07
"SPAC1420.02C" 0.611955790667087 0.319205521663561 NA
"SPAC1420.03" 0.0257405877721000 0.329787502830856 0.00745767833500121
"SPAC1420.04C" 0.0252136995391761 NA 0.202695687150120
"SPAC144.01" NA 0.687107786531415 NA
"SPAC144.02" NA 0.974938725148814 NA
"SPAC144.03" 0.167646155220800 0.564746227461603 1.21025353815911e-05
"SPAC144.04C" 0.335887707112051 0.76986142923946 0.00118007653638337
"SPAC144.05" NA 0.988348847738335 0.0904378355829405
"SPAC144.06" 0.399137617837127 0.192589431269795 0.0361820902538718
"SPAC144.07C" 0.00208110826594445 0.121443577046034 0.854806105173147
"SPAC144.08" 0.0640637626672936 0.0717336476037824 0.574000114789323
"SPAC144.09C" 0.265358457425394 NA 0.000575851027194657
"SPAC144.10C" 0.119658882540342 0.93248290775399 0.0111356473008802
"SPAC144.11" 0.53513958365558 0.945964876510375 NA
"SPAC144.12" 0.056834182819889 NA NA
"SPAC144.13C" NA NA 0.000276022368033235
"SPAC144.14" 0.548495716900144 0.0078459615663676 0.00674963632217704
"SPAC144.15C" 0.858020183068332 NA 2.17647211030786e-05
"SPAC144.16" 0.957599642094206 NA 0.043982569130622
"SPAC144.17C" 0.157288813719097 3.68520874598777e-05 0.00199597541187661
"SPAC144.18" NA NA 0.144836716608814
"SPAC1486.02C" 0.0633373911601488 0.745421327485682 0.000949516955706055
"SPAC1486.03C" 0.634564032942386 0.431160535252274 0.207507428880492
"SPAC1486.04C" 0.053713168133941 0.469354175324669 0.00269145473738509
"SPAC1486.05" NA NA 0.07085541714264
"SPAC1486.06" 0.0993223900687792 0.00805598204023956 0.00238977919149128
"SPAC1486.07C" 0.190164361807843 0.226054342633790 0.073849517351249
"SPAC1486.08" 0.576713253773836 0.028373983281944 NA
"SPAC1486.09" 0.0699250770628232 0.000305830512731252 0.00183384621650652
"SPAC1486.10" 0.336718105004241 NA 0.000157103738044368
"SPAC14C4.02C" 0.0154885889647974 0.742421208733743 0.0329868237908516
"SPAC14C4.03" NA NA NA
