"","meanS","sdmeanS","meanFDR","sdmeanFDR"
"39",239.34,0.367415213884699,0.0478389465128943,0.00139674382369145
"40",235.29,2.90048045480173,0.0447764167801164,0.0016619124209346
"41",0.14,0.0402517331328978,0.01,0.01
"42",0.06,0.0342893215995531,0.005,0.005
"43",71.33,1.9301465375887,0.0279598850839181,0.00220145927252186
"44",103.67,1.47155212499104,0.0435451384706482,0.00207268043317651
"45",381.32,1.31984694551905,0.0426436771333442,0.00113560616979907
"46",391.47,1.03898308869098,0.0437997478159903,0.000958533917569042
"47",486.67,0.433462684656821,0.0482549891946298,0.0010004705805088
"48",459.81,10.2100336370008,0.0396033564349718,0.00155753341692207
"49",0.47,0.0892788164723697,0.0178571428571429,0.0114580697951366
"50",0.45,0.106718737290547,0.0183333333333333,0.0110211000569202
"51",206.09,4.11219165433959,0.0232683062654374,0.00133776555251781
"52",294.46,2.17345881771963,0.0403891185828992,0.00115591504168724
"53",823.02,1.75389782363671,0.0417927144036975,0.000832238707864229
"54",835.39,1.34516680652391,0.0395717437443115,0.000742934044831432
"55",983.55,0.366632229787824,0.0466668620041672,0.000697947697989234
"56",880.11,23.2276606917727,0.026159384504982,0.00181137199171717
"57",0.33,0.0682464340282755,0.00583333333333333,0.00414641543296869
"58",1.26,0.216780855690578,0.0281488095238095,0.00938699412935566
"59",388.35,7.18733980936991,0.0213896616582488,0.00104707540494167
"60",532.27,2.57736279749262,0.0346395429486398,0.000836751301573598
"61",1289,2.06930427970857,0.0404028663699354,0.000729793156624638
"62",1294.79,1.23666993383543,0.0343812811424477,0.000418713751978936
"63",0.07,0.0325824517434794,0.00333333333333333,0.00333333333333333
"64",0.03,0.0171446607997765,0,0
"65",47.77,1.30893240482618,0.0285300615561675,0.00277333572534209
"66",67.03,1.14939202198468,0.0447887882454064,0.0027037103156357
"67",346.07,1.31926326241412,0.0456983001691923,0.00126838946976439
"68",358,1.17481999480857,0.0477690953552141,0.00111222669636559
"69",479.12,0.46281527610698,0.0448931920637806,0.000991109553551626
"70",470.68,4.28589134795373,0.0403071047615382,0.00147428211893544
"71",0.27,0.0664466064983872,0.002,0.002
"72",0.14,0.0512864799952486,0.005,0.005
"73",148.52,2.74882821683287,0.0261175391836451,0.00147976774186152
"74",211.43,1.61715893786079,0.0437779083031202,0.00149086715486888
"75",755.19,1.80798984309295,0.0424268609375774,0.000852822161789019
"76",777.12,1.41451922802931,0.0445053402063229,0.00080167711765086
"77",972.53,0.58143934952127,0.0472519904251737,0.00072794609122027
"78",814.92,27.9811938287273,0.0272335532327631,0.00216656816653498
"79",0.44,0.102809031557043,0.005,0.005
"80",0.65,0.131329641541713,0.025,0.0148647097502641
"81",418.8,7.42699145146957,0.0232167855515491,0.000968818335690814
"82",591.11,3.10720553916638,0.0389583831123625,0.00081056550464282
"83",1653.3,2.42455869149106,0.0424749760114548,0.000745651073763226
"84",1673.58,1.80029066115627,0.0392579809689731,0.000550574509747196
"85",1967.68,0.601325136005405,0.0471356271781964,0.000528909933822826
"86",1397.06,65.4091286064148,0.0110234014820882,0.00164278717647642
"87",0.55,0.0978299906506541,0.00333333333333333,0.00333333333333333
"88",2.61,0.32841677143163,0.0257896825396825,0.00782224849883028
"89",769.61,10.5528003368535,0.0205330278120852,0.000801359257591129
"90",1066.43,3.71326464764287,0.0345903625035238,0.000574502367159792
"91",2596.7,2.70306597340236,0.0426567701287381,0.000518358957736685
"92",2595.22,1.85856358133333,0.0350130001654364,0.000368571226530778
